logged_at,city,target,local_time,hour,side,tier,bin,unit,yes_bid,yes_ask,yes_last,spread,no_ask_implied,no_bid_implied,ask_depth_usd,bid_depth_usd,book_best_ask,book_best_bid,model_p,edge,model_mu_c,model_sigma_c,obs_so_far_c,n_hist,n_bins,vol,liquidity,min_size,token_id,slug,stop_price,won,resolved_bin,resolved_max_c,resolved_at
2026-09-25T21:00:03Z,dallas,2026-09-25,2026-09-25 16:00,16,YES,หลัก (ask ≤0.10),88-89°F,F,0.01,0.04,0.005,0.03,0.99,0.96,46.3,,0.01,,0.967,0.927,31.67,0.102,31.67,30,11,7869.0,87.0,5.0,84413230123253960818082547860536814917620397128888859609229728821283378025053,highest-temperature-in-dallas-on-september-25-2026-88-89f,0.03,,,,
2026-09-25T21:05:02Z,panama-city,2026-09-25,2026-09-25 16:05,16,YES,หลัก (ask ≤0.10),29°C,C,,0.04,0.02,0.04,,0.96,0.2,5.0,0.04,0.01,0.966,0.926,29.0,0.186,29.0,29,11,1898.0,31.0,5.0,39840245096452973432907140832725100226733140099766397621293655747016384642055,highest-temperature-in-panama-city-on-september-25-2026-29c,0.03,,,,
