city,date,side,tier,bin,entry,model_p,stake,won,pnl
warsaw,2026-09-12,NO,provable,18°C,0.495,0.0,100.0,1,102.0202
wellington,2026-09-12,NO,provable,13°C,0.165,0.0,100.0,1,506.0606
wellington,2026-09-12,YES,secondary,14°C,0.12,0.9667,100.0,1,733.3333
buenos-aires,2026-09-13,NO,provable,12°C,0.365,0.0,100.0,1,173.9726
chengdu,2026-09-13,NO,provable,24°C,0.155,0.0,100.0,1,545.1613
toronto,2026-09-13,NO,provable,27°C,0.35,0.0,100.0,1,185.7143
toronto,2026-09-13,YES,main,28°C,0.04,0.9667,100.0,1,2400.0
cape-town,2026-09-14,NO,provable,17°C,0.095,0.0,100.0,1,952.6316
cape-town,2026-09-14,YES,main,18°C,0.095,1.0,100.0,1,952.6316
wuhan,2026-09-14,NO,provable,32°C,0.385,0.0,100.0,1,159.7403
dallas,2026-09-15,YES,secondary,98-99°F,0.195,0.9,100.0,1,412.8205
warsaw,2026-09-15,NO,provable,19°C,0.49,0.0,100.0,1,104.0816
atlanta,2026-09-17,YES,secondary,88-89°F,0.17,0.9333,100.0,1,488.2353
dallas,2026-09-17,YES,secondary,96-97°F,0.14,0.9,100.0,1,614.2857
seattle,2026-09-17,NO,provable,74-75°F,0.475,0.0,100.0,1,110.5263
busan,2026-09-18,NO,provable,26°C,0.09,0.0,100.0,1,1011.1111
busan,2026-09-18,YES,main,27°C,0.046,1.0,100.0,1,2073.913
denver,2026-09-18,NO,provable,84-85°F,0.355,0.0,100.0,1,181.6901
buenos-aires,2026-09-19,YES,secondary,25°C,0.12,1.0,100.0,1,733.3333
denver,2026-09-19,NO,provable,74-75°F,0.465,0.0,100.0,1,115.0538
warsaw,2026-09-19,NO,provable,21°C,0.25,0.0,100.0,1,300.0
warsaw,2026-09-19,YES,secondary,22°C,0.105,0.9667,100.0,1,852.381
warsaw,2026-09-20,NO,provable,21°C,0.18,0.0,100.0,1,455.5556
warsaw,2026-09-20,YES,secondary,22°C,0.105,0.9667,100.0,1,852.381
buenos-aires,2026-09-22,NO,provable,13°C,0.445,0.0,100.0,1,124.7191
denver,2026-09-22,NO,provable,82-83°F,0.405,0.0,100.0,1,146.9136
houston,2026-09-22,NO,provable,94-95°F,0.405,0.0,100.0,1,146.9136
kuala-lumpur,2026-09-22,NO,provable,30°C,0.175,0.0,100.0,1,471.4286
kuala-lumpur,2026-09-22,YES,secondary,31°C,0.165,1.0,100.0,1,506.0606
panama-city,2026-09-22,YES,main,31°C,0.037,0.9655,100.0,1,2602.7027
warsaw,2026-09-22,NO,provable,16°C,0.09,0.0,100.0,1,1011.1111
warsaw,2026-09-22,YES,main,17°C,0.095,0.9667,100.0,1,952.6316
