city,date,bin,unit,won,stale_price,model_p,ex_px,ex_notional,n_buy,first_px,secs,status
sao-paulo,2026-08-02,29°C,C,1,0.155,1.0,,,0,,,no_fill
sao-paulo,2026-08-28,32°C,C,1,0.05,1.0,,,0,,,no_fill
sao-paulo,2026-09-09,22°C,C,1,0.055,1.0,0.7275,40.0,1,0.7275,7,too_expensive
sao-paulo,2026-09-11,28°C,C,1,0.245,1.0,0.95,17.7,1,0.95,0,too_expensive
seattle,2026-07-01,62-63°F,F,1,0.0835,0.9333,0.3582,16.43,5,0.347,311,too_expensive
seattle,2026-07-05,76-77°F,F,1,0.25,0.9667,0.295,14.87,1,0.295,32,too_expensive
seattle,2026-07-09,78-79°F,F,1,0.04,0.9667,,,0,,,no_fill
seattle,2026-07-22,94-95°F,F,1,0.235,0.9667,0.6098,18.6,2,0.6,169,too_expensive
seattle,2026-08-19,82-83°F,F,1,0.0305,1.0,,,0,,,no_fill
seoul,2026-07-03,28°C,C,1,0.12,0.9667,0.7195,137.56,1,0.7195,8,too_expensive
shanghai,2026-08-16,29°C,C,1,0.035,1.0,0.92,12.6,3,0.92,9,too_expensive
shanghai,2026-08-22,31°C,C,1,0.16,1.0,0.9864,114.8,1,0.9864,126,too_expensive
shenzhen,2026-07-02,35°C,C,0,0.047,1.0,,,0,,,no_fill
shenzhen,2026-07-06,31°C,C,0,0.08,1.0,,,0,,,no_fill
shenzhen,2026-07-07,28°C,C,1,0.185,1.0,0.6664,13.24,2,0.64,91,too_expensive
shenzhen,2026-07-09,32°C,C,0,0.032,1.0,,,0,,,no_fill
shenzhen,2026-07-14,31°C,C,0,0.0385,1.0,,,0,,,no_fill
shenzhen,2026-07-17,29°C,C,1,0.13,0.9667,0.2438,21.19,10,0.24,720,traded
shenzhen,2026-07-18,30°C,C,0,0.055,0.9333,,,0,,,no_fill
shenzhen,2026-07-20,30°C,C,0,0.225,0.9333,0.2447,12.68,6,0.38,607,traded
shenzhen,2026-07-25,36°C,C,0,0.2015,0.9333,0.009,12.98,2,0.01,945,traded
shenzhen,2026-07-29,29°C,C,0,0.095,0.9,0.1195,13.12,5,0.05,908,traded
shenzhen,2026-08-11,36°C,C,0,0.02,0.9,,,0,,,no_fill
shenzhen,2026-08-20,31°C,C,0,0.025,0.9667,,,0,,,no_fill
shenzhen,2026-09-01,31°C,C,1,0.178,1.0,0.946,63.38,1,0.946,30,too_expensive
shenzhen,2026-09-02,30°C,C,1,0.035,1.0,0.9899,340.39,2,0.9745,75,too_expensive
singapore,2026-07-04,33°C,C,1,0.245,1.0,0.5451,69.37,1,0.5451,52,too_expensive
singapore,2026-07-26,30°C,C,1,0.085,1.0,0.8085,80.82,1,0.8085,40,too_expensive
singapore,2026-07-27,32°C,C,1,0.16,1.0,0.99,50.0,1,0.99,40,too_expensive
singapore,2026-08-08,32°C,C,1,0.135,0.9667,0.92,19.4,3,0.92,150,too_expensive
singapore,2026-08-12,32°C,C,1,0.045,0.9667,0.9251,58.14,2,0.68,103,too_expensive
singapore,2026-08-31,30°C,C,1,0.1625,0.9667,,,0,,,no_fill
tel-aviv,2026-07-06,33°C,C,1,0.1325,1.0,0.9881,51.17,2,0.984,125,too_expensive
tokyo,2026-08-05,30°C,C,1,0.18,1.0,0.98,55.0,2,0.97,345,too_expensive
tokyo,2026-08-23,30°C,C,0,0.195,0.9667,,,0,,,no_fill
tokyo,2026-08-26,33°C,C,1,0.17,0.9667,,,0,,,no_fill
tokyo,2026-09-13,24°C,C,0,0.245,1.0,0.0995,26.51,3,0.1249,369,traded
toronto,2026-08-01,28°C,C,1,0.09,0.9,0.8351,30.21,2,0.77,66,too_expensive
toronto,2026-08-09,27°C,C,1,0.065,0.9333,0.7964,49.15,1,0.7964,94,too_expensive
toronto,2026-08-20,24°C,C,1,0.215,1.0,0.72,21.68,3,0.72,625,too_expensive
toronto,2026-08-24,22°C,C,1,0.0645,0.9667,0.9215,87.33,1,0.9215,108,too_expensive
toronto,2026-08-26,24°C,C,1,0.065,0.9667,0.5044,13.78,2,0.4575,88,too_expensive
toronto,2026-09-12,25°C,C,1,0.23,0.9667,0.9599,49.47,1,0.9599,57,too_expensive
toronto,2026-09-13,28°C,C,1,0.04,0.9667,0.9825,20.0,1,0.9825,117,too_expensive
warsaw,2026-08-12,22°C,C,1,0.175,0.9,0.46,12.35,2,0.46,138,too_expensive
warsaw,2026-08-14,25°C,C,0,0.05,0.9,,,0,,,no_fill
warsaw,2026-09-19,22°C,C,1,0.105,0.9667,0.99,60.0,1,0.99,146,too_expensive
warsaw,2026-09-20,22°C,C,1,0.105,0.9667,0.99,24.75,1,0.99,94,too_expensive
warsaw,2026-09-22,17°C,C,1,0.095,0.9667,0.98,34.4,2,0.98,424,too_expensive
wellington,2026-07-06,11°C,C,0,0.225,0.9333,0.3,13.17,3,0.304,385,too_expensive
wellington,2026-08-27,12°C,C,0,0.0225,1.0,,,0,,,no_fill
wellington,2026-09-12,14°C,C,1,0.12,0.9667,0.97,46.56,1,0.97,85,too_expensive
wuhan,2026-08-08,37°C,C,1,0.175,0.9,0.7529,14.03,1,0.7529,45,too_expensive
wuhan,2026-09-08,35°C,C,1,0.11,0.9,0.9495,56.14,1,0.9495,37,too_expensive
